Season,Team,DRtg,ORtg,Net Rtg,W,Playoff ORtg,Playoff DRtg,Playoff Net Rtg,ORtg Difference,DRtg Difference,Net Rtg Difference
2010-11,MIA,103.5,111.7,8.2,14,106.4,103.4,3,-5.3,-0.1,-5.2
2016-17,SAS,103.5,111.1,7.6,8,113.4,112.3,1.1,2.3,8.8,-6.5
2014-15,HOU,103.4,107,3.6,9,106.6,109,-2.4,-0.4,5.6,-6
2005-06,CHI,103.4,104,0.6,2,104.2,107.4,-3.2,0.2,4,-3.8
2003-04,NYK,103.3,101.7,-1.6,0,90.4,104.1,-13.7,-11.3,0.8,-12.1
2012-13,BOS,103.3,103.1,-0.2,2,92.9,98.9,-6,-10.2,-4.4,-5.8
2009-10,ORL,103.3,111.4,8.1,10,110.8,100.9,9.9,-0.6,-2.4,1.8
2006-07,DAL,103.2,111.3,8.1,2,105.7,112.8,-7.1,-5.6,9.6,-15.2
2011-12,OKC,103.2,109.8,6.6,13,111.8,107.4,4.4,2,4.2,-2.2
2011-12,SAS,103.2,110.9,7.7,10,110.3,103.9,6.4,-0.6,0.7,-1.3
2012-13,CHI,103.2,103.5,0.3,5,102.5,110,-7.5,-1,6.8,-7.8
2005-06,DET,103.1,110.8,7.7,10,107.9,104.2,3.7,-2.9,1.1,-4
2014-15,ATL,103.1,108.9,5.8,8,103.4,103.6,-0.2,-5.5,0.5,-6
2009-10,MIL,103.1,104.9,1.8,3,105,109.3,-4.3,0.1,6.2,-6.1
2004-05,NJN,103.1,101.4,-1.7,0,100.6,113.9,-13.3,-0.8,10.8,-11.6
2004-05,MIA,103.1,110.2,7.1,11,107.2,102.5,4.7,-3,-0.6,-2.4
2011-12,IND,103.1,106.7,3.6,6,102.4,100.9,1.5,-4.3,-2.2,-2.1
2014-15,WAS,103,103.7,0.7,6,105.8,101.7,4.1,2.1,-1.3,3.4
2007-08,DET,102.9,111.4,8.5,10,108,105.2,2.8,-3.4,2.3,-5.7
2004-05,MEM,102.9,105.5,2.6,0,112,124,-12,6.5,21.1,-14.6
2015-16,IND,102.9,104.6,1.7,3,105.5,103.9,1.6,0.9,1,-0.1
2019-20,MIL,102.9,112.4,9.5,5,109.7,108.5,1.2,-2.7,5.6,-8.3
2009-10,CHA,102.8,104.4,1.6,0,100.2,111,-10.8,-4.2,8.2,-12.4
2003-04,DEN,102.7,103.9,1.2,1,99.2,103.6,-4.4,-4.7,0.9,-5.6
2012-13,OKC,102.6,112.4,9.8,5,105.1,103.7,1.4,-7.3,1.1,-8.4
2013-14,GSW,102.6,107.5,4.9,3,110.2,114.8,-4.6,2.7,12.2,-9.5
2008-09,CLE,102.4,112.4,10,10,112.6,102.7,9.9,0.2,0.3,-0.1
2013-14,SAS,102.4,110.5,8.1,16,114.2,104.2,10,3.7,1.8,1.9
2003-04,NOH,102.4,102.3,-0.1,3,92.5,95.9,-3.4,-9.8,-6.5,-3.3
2005-06,NJN,102.4,103.9,1.5,5,106.5,107.6,-1.1,2.6,5.2,-2.6
2005-06,IND,102.4,104.5,2.1,2,103.2,107.5,-4.3,-1.3,5.1,-6.4
2008-09,BOS,102.3,110.5,8.2,7,106.3,106.3,0,-4.2,4,-8.2
2011-12,DAL,102.3,103.3,1,0,102.9,110.1,-7.2,-0.4,7.8,-8.2
2014-15,MIL,102.2,102.7,0.5,2,91.8,104.6,-12.8,-10.9,2.4,-13.3
2014-15,MEM,102.2,105.7,3.5,6,103,104.4,-1.4,-2.7,2.2,-4.9
2003-04,MEM,102.2,104.8,2.6,0,97.1,113.4,-16.3,-7.7,11.2,-18.9
2014-15,SAS,102,108.5,6.5,3,107.8,107.3,0.5,-0.7,5.3,-6
2010-11,ORL,102,107.9,5.9,2,102.4,100.3,2.1,-5.5,-1.7,-3.8
2008-09,ORL,101.9,109.2,7.3,13,107.3,105.3,2,-1.9,3.4,-5.3
2007-08,SAS,101.8,107.2,5.4,9,103.9,104.8,-0.9,-3.3,3,-6.3
2011-12,MEM,101.8,104,2.2,3,102.8,102,0.8,-1.2,0.2,-1.4
2004-05,HOU,101.7,106.2,4.5,3,111.7,114.9,-3.2,5.5,13.2,-7.7
